date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:12	2367/2367	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2019:38:15%20GMT	http://www.vintagepointsblog.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fwww.vintagepointsblog.com%2F%3Fp%3D318	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index36c5.json	(from http://www.vintagepointsblog.com/?p=318)
12:38:13	66029/66029	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:16%20GMT	http://www.vintagepointsblog.com/?p=167	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index3350.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:13	49221/49221	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:16%20GMT	http://www.vintagepointsblog.com/?p=163	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index4034.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:14	47045/47045	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:17%20GMT	http://www.vintagepointsblog.com/?p=154	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index87e6.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:14	49573/49573	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:17%20GMT	http://www.vintagepointsblog.com/?p=161	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index8816.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:14	2463/2463	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2019:38:18%20GMT	http://www.vintagepointsblog.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fwww.vintagepointsblog.com%2F%3Fp%3D318&format=xml	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index52b7.php	(from http://www.vintagepointsblog.com/?p=318)
12:38:14	52281/52281	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:18%20GMT	http://www.vintagepointsblog.com/?p=145	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexbe3b.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:15	51475/51475	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:19%20GMT	http://www.vintagepointsblog.com/?p=122	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexdb84.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:15	51432/51432	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:19%20GMT	http://www.vintagepointsblog.com/?p=114	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index30a5.html	(from http://www.vintagepointsblog.com/?cat=3&paged=5)
12:38:16	54612/54612	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:20%20GMT	http://www.vintagepointsblog.com/?p=98	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexb6ad.html	(from http://www.vintagepointsblog.com/?cat=3&paged=5)
12:38:16	51804/51804	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:21%20GMT	http://www.vintagepointsblog.com/?p=95	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index5eda.html	(from http://www.vintagepointsblog.com/?cat=3&paged=5)
12:38:17	789/789	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ccf03757ef857648d854ee6a0d579786-gzip%22	http://www.vintagepointsblog.com/?feed=rss2&p=318	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index80b2.html	(from http://www.vintagepointsblog.com/?p=318)
12:38:17	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2029%20Aug%202020%2019:38:19%20GMT	https://i2.wp.com/i.pinimg.com/originals/98/d3/20/98d3206028f08f8d6537ba2e69ceba04.jpg?resize=232%2C169&ssl=1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/i2.wp.com/i.pinimg.com/originals/98/d3/20/98d3206028f08f8d6537ba2e69ceba04.763c76.delayed	(from http://www.vintagepointsblog.com/?p=318)
12:38:17	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Aug%202020%2019:38:22%20GMT	http://www.vintagepointsblog.com/?p=318&share=twitter	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexc653.html	(from http://www.vintagepointsblog.com/?p=318)
12:38:18	2313/2313	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2019:38:22%20GMT	http://www.vintagepointsblog.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fwww.vintagepointsblog.com%2F%3Fp%3D312	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index5349.json	(from http://www.vintagepointsblog.com/?p=312)
12:38:18	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Aug%202020%2019:38:22%20GMT	http://www.vintagepointsblog.com/?p=318&share=facebook	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexb2ee.html	(from http://www.vintagepointsblog.com/?p=318)
12:38:18	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Aug%202020%2019:38:22%20GMT	http://www.vintagepointsblog.com/?p=318&share=google-plus-1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index802f.html	(from http://www.vintagepointsblog.com/?p=318)
12:38:18	2409/2409	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2019:38:23%20GMT	http://www.vintagepointsblog.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fwww.vintagepointsblog.com%2F%3Fp%3D312&format=xml	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index67f6.php	(from http://www.vintagepointsblog.com/?p=312)
